code,year,Manip,Readty,Analy,Turn,Roe,Lev,Size,Comstate,Roc,PE,PS,Eps,Opps,Rps,Ncfops,IO,MO,ED,Beta,PB,sector,TOPSalary,Readty_predicted,Readty2,Lnma,Equity,Same,Digital,Big4
sz.000622,2014,2,13.82569937,0,810.996398,-0.182411,0.4055,373924717.7,0,0.4716,404.9645,13.2621,-0.04,-0.04,0.1,-0.03,48.8577,0,3.5811,1.07062,8.921741,C,13.87651252,11.66221856,14.28644969,1.098612289,0,0,0,0
sz.000625,2014,0,14.7071457,3.555348061,240.335632,0.294925,0.6347,69687352891,373358342,0.4349,17.5048,1.9573,1.17,1.41,9.77,1.02,61.2809,0.0007,0.6475,1.0368,2.65119325,C,14.85348958,12.2639611,15.18366119,0,1,0,0,1
sz.000628,2014,0,12.16299953,0,580.138758,-0.255695,0.9593,3681730713,27159250,0.3252,139.7746,0.9166,-0.05,-0.02,5.84,0.26,37.3384,0,0.7113,1.05634,9.78666725,E,14.06127707,11.74320317,12.64731001,0,1,0,0,0
sz.000630,2014,0,11.98885743,1.609437912,307.507888,0.020276,0.6661,46927186994,0,0.5449,54.6635,0.3846,0.16,0.14,34.23,1.19,70.5019,0.0027,0.1832,1.18311,1.3321305,C,14.09858277,11.83220589,12.49671473,0,1,0,0,0
sz.000637,2014,3,12.13475733,1.098612289,861.060133,0.088864,0.2615,1212343685,0,0.3518,55.1304,1.0159,0.14,0.28,5.87,0.19,46.5869,0.0018,0.1599,1.17454,3.50949625,C,14.57022356,12.20689951,12.63690769,1.386294361,0,1,0,0
sz.000638,2014,0,13.95130202,0,632.962517,0.013001,0.8644,2504894339,0,0.507,-126.378,19.9614,0,0,0.48,-0.6,42.9375,0.0018,0.3728,0.94451,5.275128,I,13.70625469,11.47118465,14.41352934,0,0,0,0,0
sz.000651,2014,2,13.20440515,3.63758616,177.826193,0.320596,0.7111,1.56231E+11,0,0.1366,9.7797,0.9412,3.27,3.89,32.72,7.27,53.5729,0.9431,0.5185,0.98245,2.29245675,C,16.56260203,13.33578768,13.68014849,1.098612289,1,1,1,0
sz.000657,2014,0,11.69903617,1.609437912,467.286272,0.006322,0.4985,7818168146,387043002,0.3871,52.6101,0.9382,-0.22,-0.28,7.95,0.14,75.8146,0,1.3024,0.67152,2.29554175,C,13.85473223,11.66950212,12.16419914,0,1,0,0,0
sz.000661,2014,0,13.63415006,2.63905733,247.492512,0.217894,0.3506,3148423176,0,-0.2024,38.7296,5.5576,1.29,2.59,10.33,0.92,59.4694,0.0029,1.6607,0.7295,6.54647975,C,15.4433189,12.66144266,14.10987844,0,1,0,0,0
sz.000665,2014,1,11.48642691,1.098612289,410.807216,0.048783,0.3316,7515295436,198800948,0.2721,44.4889,5.189,0.34,0.22,1.44,0.44,76.6905,0,5.2155,0.93942,1.99785125,R,14.10608918,11.80864492,11.97017852,0.693147181,1,1,0,0
